category;revenue;units;avg_price;budget_revenue;budget_units;budget_avg_price;status;revenue_variance;variance_pct;price_effect;volume_effect;unbudgeted_effect;material
cine_photo;435.85;13;33.526923;82.95;1.05;79.0;ok;352.9;425.44;-591.15;944.05;0.0;False
diapers_and_hygiene;321.0;7;45.857143;0.0;0.0;0.0;unbudgeted;321.0;;;;321.0;False
dvds_blu_ray;382.88;6;63.813333;133.0245;4.2;31.6725;ok;249.86;187.83;192.84;57.01;0.0;False
food_drink;293.85;11;26.713636;60.27;2.1;28.7;ok;233.58;387.56;-21.85;255.43;0.0;False
fashion_underwear_beach;129.3;7;18.471429;4.095;1.05;3.9;ok;125.21;3057.51;102.0;23.21;0.0;False
fashion_shoes;1230.58;10;123.058;1343.3490000000002;19.95;67.33578947368422;ok;-112.77;-8.39;557.22;-669.99;0.0;False
christmas_supplies;306.19;7;43.741429;193.935;3.1500000000000004;61.56666666666666;ok;112.25;57.88;-124.78;237.03;0.0;False
flowers;108.0;2;54.0;0.0;0.0;0.0;unbudgeted;108.0;;;;108.0;False
fashion_male_clothing;447.8;7;63.971429;545.7795;9.45;57.75444444444444;ok;-97.98;-17.95;43.52;-141.5;0.0;False
party_supplies;84.8;2;42.4;0.0;0.0;0.0;unbudgeted;84.8;;;;84.8;False
fashion_childrens_clothes;89.99;1;89.99;115.5;1.05;110.0;ok;-25.51;-22.09;-20.01;-5.5;0.0;False
home_comfort_2;25.8;2;12.9;13.158;1.02;12.9;ok;12.64;96.08;0.0;12.64;0.0;False
audio;1830.69;20;91.5345;1838.1;12.1;151.9090909090909;ok;-7.41;-0.4;-1207.49;1200.08;0.0;False
