category;revenue;units;avg_price;budget_revenue;budget_units;budget_avg_price;status;revenue_variance;variance_pct;price_effect;volume_effect;unbudgeted_effect;material
health_beauty;106745.72;875;121.995109;33260.6505;266.7;124.7118503937008;ok;73485.07;220.94;-2377.15;75862.22;0.0;True
watches_gifts;85027.57;477;178.254864;28704.5115;124.95;229.7279831932773;ok;56323.06;196.22;-24552.68;80875.74;0.0;True
bed_bath_table;70857.08;764;92.744869;34479.2946;376.38;91.60766937669378;ok;36377.79;105.51;868.82;35508.96;0.0;True
housewares;55912.61;577;96.90227;23437.7742;327.42;71.58320872274143;ok;32474.84;138.56;14609.1;17865.74;0.0;True
furniture_decor;42042.22;402;104.582637;16946.575800000002;234.6;72.23604347826088;ok;25095.64;148.09;13003.33;12092.31;0.0;True
construction_tools_construction;22947.72;113;203.077168;383.8974;8.16;47.04625;ok;22563.82;5877.57;17631.49;4932.33;0.0;True
baby;30550.32;223;136.996951;8257.977;81.9;100.83;ok;22292.34;269.95;8065.23;14227.11;0.0;True
cool_stuff;19316.37;103;187.537573;40015.090500000006;208.95;191.50557788944724;ok;-20698.72;-51.73;-408.7;-20290.02;0.0;True
telephony;22669.86;216;104.953056;6889.8165;164.85;41.79445859872612;ok;15780.04;229.03;13642.26;2137.79;0.0;True
auto;44962.59;295;152.415559;30802.4955;115.5;266.6882727272728;ok;14160.09;45.97;-33710.45;47870.54;0.0;True
pet_shop;19491.78;178;109.504382;5379.7485;66.15;81.32650793650792;ok;14112.03;262.32;5015.66;9096.37;0.0;True
computers;13127.0;13;1009.769231;0.0;0.0;0.0;unbudgeted;13127.0;;;;13127.0;True
sports_leisure;44916.01;419;107.198115;33670.2765;282.45;119.2079182156134;ok;11245.73;33.4;-5032.11;16277.84;0.0;True
musical_instruments;16177.92;47;344.211064;5242.7025;21.0;249.6525;ok;10935.22;208.58;4444.25;6490.97;0.0;True
stationery;12859.08;167;77.000479;3668.2485;39.9;91.93605263157896;ok;9190.83;250.55;-2494.24;11685.07;0.0;True
electronics;9664.57;191;50.599843;2266.0440000000003;45.1;50.24487804878049;ok;7398.53;326.5;67.8;7330.73;0.0;True
home_appliances_2;8312.72;19;437.511579;1238.1473999999998;6.12;202.31166666666664;ok;7074.57;571.38;4468.8;2605.77;0.0;True
home_construction;9094.59;71;128.092817;2032.146;8.16;249.0375;ok;7062.44;347.54;-8587.07;15649.52;0.0;True
signaling_and_security;5863.18;27;217.154815;140.70000000000002;1.05;134.0;ok;5722.48;4067.15;2245.18;3477.3;0.0;True
small_appliances;15431.63;49;314.931224;10183.7505;24.15;421.6873913043478;ok;5247.88;51.53;-5231.05;10478.93;0.0;True
toys;21094.95;190;111.026053;16104.4275;163.8;98.3176282051282;ok;4990.52;30.99;2414.6;2575.92;0.0;False
office_furniture;12125.58;76;159.547105;7424.7126;51.0;145.5826;ok;4700.87;63.31;1061.3;3639.57;0.0;False
construction_tools_lights;4583.41;44;104.168409;0.0;0.0;0.0;unbudgeted;4583.41;;;;4583.41;False
luggage_accessories;5070.88;36;140.857778;8549.2995;63.0;135.70316666666665;ok;-3478.42;-40.69;185.57;-3663.99;0.0;False
small_appliances_home_oven_and_coffee;3499.0;3;1166.333333;73.33800000000001;1.02;71.9;ok;3425.66;4671.06;3283.3;142.36;0.0;False
home_appliances;5830.38;65;89.698154;2557.3338;43.86;58.30674418604651;ok;3273.05;127.99;2040.44;1232.6;0.0;False
kitchen_dining_laundry_garden_furniture;3538.43;29;122.014828;382.296;4.08;93.7;ok;3156.13;825.57;821.13;2335.0;0.0;False
uncategorized;2387.13;23;103.788261;5147.52;60.900000000000006;84.52413793103447;ok;-2760.39;-53.63;443.07;-3203.46;0.0;False
construction_tools_safety;2565.37;16;160.335625;0.0;0.0;0.0;unbudgeted;2565.37;;;;2565.37;False
industry_commerce_and_business;2609.9;26;100.380769;290.81850000000003;2.1;138.485;ok;2319.08;797.43;-990.71;3309.79;0.0;False
art;2500.14;28;89.290714;210.31500000000003;4.2;50.075;ok;2289.82;1088.76;1098.04;1191.79;0.0;False
garden_tools;17948.72;184;97.547391;15756.0318;112.2;140.4280909090909;ok;2192.69;13.92;-7890.05;10082.74;0.0;False
agro_industry_and_commerce;3515.8;10;351.58;1459.5;1.05;1390.0;ok;2056.3;140.89;-10384.2;12440.5;0.0;False
computers_accessories;41806.37;401;104.255287;39813.07;279.40000000000003;142.49488188976378;ok;1993.3;5.01;-15334.08;17327.38;0.0;False
perfumery;26963.93;186;144.967366;25152.036;155.4;161.85351351351352;ok;1811.89;7.2;-3140.82;4952.72;0.0;False
furniture_living_room;3541.62;29;122.124828;1747.566;15.3;114.22;ok;1794.05;102.66;229.24;1564.81;0.0;False
books_technical;1747.43;26;67.208846;153.19500000000002;2.1;72.95;ok;1594.24;1040.66;-149.27;1743.5;0.0;False
drinks;1567.07;33;47.48697;52.48950000000001;1.05;49.99;ok;1514.58;2885.49;-82.6;1597.18;0.0;False
air_conditioning;3567.9;15;237.86;2188.704;11.55;189.49818181818185;ok;1379.2;63.01;725.43;653.77;0.0;False
books_general_interest;3275.49;38;86.197105;2018.289;21.0;96.109;ok;1257.2;62.29;-376.65;1633.85;0.0;False
furniture_bedroom;1559.99;9;173.332222;315.1698;2.04;154.495;ok;1244.82;394.97;169.53;1075.29;0.0;False
food;1371.18;24;57.1325;157.395;1.05;149.9;ok;1213.79;771.17;-2226.42;3440.2;0.0;False
fixed_telephony;2080.32;17;122.371765;980.3535;12.6;77.80583333333333;ok;1099.97;112.2;757.62;342.35;0.0;False
consoles_games;6903.01;43;160.535116;5839.933;31.9;183.07;ok;1063.08;18.2;-969.0;2032.08;0.0;False
music;109.08;3;36.36;1120.245;4.2;266.725;ok;-1011.16;-90.26;-691.1;-320.07;0.0;False
fashion_bags_accessories;7869.95;87;90.459195;7058.2365;85.05;82.98925925925926;ok;811.71;11.5;649.88;161.83;0.0;False
market_place;556.46;7;79.494286;1321.8975;16.8;78.684375;ok;-765.44;-57.9;5.67;-771.11;0.0;False
tablets_printing_image;50.0;1;50.0;653.4000000000001;6.6000000000000005;99.0;ok;-603.4;-92.35;-49.0;-554.4;0.0;False
costruction_tools_tools;527.0;4;131.75;0.0;0.0;0.0;unbudgeted;527.0;;;;527.0;False
home_confort;2386.49;16;149.155625;2874.564;17.34;165.7764705882353;ok;-488.07;-16.98;-265.93;-222.14;0.0;False
books_imported;468.17;9;52.018889;103.95;2.1;49.5;ok;364.22;350.38;22.67;341.55;0.0;False
costruction_tools_garden;799.44;11;72.676364;443.3838;4.08;108.6725;ok;356.06;80.3;-395.96;752.01;0.0;False
