category;revenue;units;avg_price;budget_revenue;budget_units;budget_avg_price;status;revenue_variance;variance_pct;price_effect;volume_effect;unbudgeted_effect;material
air_conditioning;3556.9;21;169.37619;4485.3165;15.75;284.782;ok;-928.42;-20.7;-2423.52;1495.11;0.0;False
audio;2069.4;26;79.592308;1155.7700000000002;7.700000000000001;150.1;ok;913.63;79.05;-1833.2;2746.83;0.0;False
arts_and_craftmanship;901.76;9;100.195556;0.0;0.0;0.0;unbudgeted;901.76;;;;901.76;False
fashion_male_clothing;381.69;3;127.23;1233.813;14.7;83.93285714285715;ok;-852.12;-69.06;129.89;-982.01;0.0;False
books_general_interest;1564.78;36;43.466111;2388.75;28.35;84.25925925925925;ok;-823.97;-34.49;-1468.55;644.58;0.0;False
fixed_telephony;2724.17;10;272.417;3510.717;21.0;167.177;ok;-786.55;-22.4;1052.4;-1838.95;0.0;False
books_imported;749.0;1;749.0;64.05;1.05;60.99999999999999;ok;684.95;1069.4;688.0;-3.05;0.0;False
cine_photo;595.29;9;66.143333;0.0;0.0;0.0;unbudgeted;595.29;;;;595.29;False
food_drink;1028.61;21;48.981429;519.5505;15.75;32.98733333333334;ok;509.06;97.98;335.88;173.18;0.0;False
music;497.81;6;82.968333;0.0;0.0;0.0;unbudgeted;497.81;;;;497.81;False
christmas_supplies;529.37;10;52.937;61.845;1.05;58.9;ok;467.52;755.96;-59.63;527.15;0.0;False
luggage_accessories;6599.75;64;103.121094;6859.755000000001;65.10000000000001;105.37258064516128;ok;-260.01;-3.79;-144.1;-115.91;0.0;False
diapers_and_hygiene;231.89;3;77.296667;0.0;0.0;0.0;unbudgeted;231.89;;;;231.89;False
books_technical;1483.79;29;51.165172;1256.199;9.45;132.9311111111111;ok;227.59;18.12;-2371.21;2598.8;0.0;False
pc_gamer;219.0;1;219.0;0.0;0.0;0.0;unbudgeted;219.0;;;;219.0;False
fashion_sport;69.9;1;69.9;279.09000000000003;2.1;132.9;ok;-209.19;-74.95;-63.0;-146.19;0.0;False
dvds_blu_ray;8.9;1;8.9;119.07;6.300000000000001;18.9;ok;-110.17;-92.53;-10.0;-100.17;0.0;False
fashio_female_clothing;129.97;3;43.323333;198.135;4.2;47.175;ok;-68.16;-34.4;-11.56;-56.61;0.0;False
