category;revenue;units;avg_price;budget_revenue;budget_units;budget_avg_price;status;revenue_variance;variance_pct;price_effect;volume_effect;unbudgeted_effect;material
health_beauty;103524.22;770;134.447039;35951.4225;323.40000000000003;111.16704545454544;ok;67572.8;187.96;17925.6;49647.2;0.0;True
watches_gifts;95164.79;521;182.657946;35387.541;170.1;208.0396296296296;ok;59777.25;168.92;-13223.86;73001.11;0.0;True
housewares;62583.3;564;110.963298;20656.5606;276.42;74.72889298892989;ok;41926.74;202.97;20436.2;21490.54;0.0;True
auto;43466.79;341;127.468592;14581.1925;119.7;121.81447368421053;ok;28885.6;198.1;1928.05;26957.54;0.0;True
furniture_decor;45393.59;436;104.113739;24508.6824;320.28000000000003;76.52267515923566;ok;20884.91;85.21;12029.7;8855.2;0.0;True
cool_stuff;21152.01;115;183.930522;38486.133;239.4;160.7607894736842;ok;-17334.12;-45.04;2664.52;-19998.64;0.0;True
telephony;26492.68;221;119.87638;9505.5135;150.15;63.30678321678322;ok;16987.17;178.71;12501.88;4485.29;0.0;True
sports_leisure;54015.89;460;117.425848;38449.7715;393.75;97.65021333333334;ok;15566.12;40.48;9096.79;6469.33;0.0;True
construction_tools_construction;15237.47;115;132.499739;560.4288;6.12;91.57333333333334;ok;14677.04;2618.89;4706.54;9970.5;0.0;True
pet_shop;19343.85;158;122.42943;6904.7685;89.25;77.36435294117648;ok;12439.08;180.15;7120.28;5318.8;0.0;True
home_appliances_2;12597.32;23;547.709565;1054.6698;7.140000000000001;147.71285714285716;ok;11542.65;1094.43;9199.92;2342.73;0.0;True
computers;11239.0;8;1404.875;0.0;0.0;0.0;unbudgeted;11239.0;;;;11239.0;True
stationery;17217.19;190;90.616789;7252.192500000001;80.85000000000001;89.69935064935065;ok;9965.0;137.41;174.31;9790.68;0.0;True
bed_bath_table;54405.23;617;88.177034;64042.6992;580.38;110.346151142355;ok;-9637.47;-15.05;-13678.35;4040.88;0.0;True
fixed_telephony;9319.39;11;847.217273;229.6665;9.45;24.303333333333327;ok;9089.72;3957.79;9052.05;37.67;0.0;True
toys;17022.0;154;110.532468;25154.682;213.15;118.01399014778325;ok;-8132.68;-32.33;-1152.15;-6980.53;0.0;True
perfumery;20645.97;199;103.748593;13370.9625;127.05;105.24173553719008;ok;7275.01;54.41;-297.14;7572.14;0.0;True
construction_tools_lights;7249.61;55;131.811091;367.2;1.02;360.0;ok;6882.41;1874.29;-12550.39;19432.8;0.0;True
home_construction;6700.25;60;111.670833;95.472;2.04;46.8;ok;6604.78;6918.03;3892.25;2712.53;0.0;True
garden_tools;25639.88;177;144.858079;19330.326;187.68;102.99619565217392;ok;6309.55;32.64;7409.55;-1100.0;0.0;True
baby;21834.12;214;102.028598;16234.4805;131.25;123.69128;ok;5599.64;34.49;-4635.81;10235.45;0.0;True
costruction_tools_tools;5501.2;12;458.433333;0.0;0.0;0.0;unbudgeted;5501.2;;;;5501.2;True
agro_industry_and_commerce;6669.82;27;247.03037;1239.0;1.05;1180.0;ok;5430.82;438.32;-25190.18;30621.0;0.0;True
small_appliances_home_oven_and_coffee;4699.67;15;313.311333;0.0;0.0;0.0;unbudgeted;4699.67;;;;4699.67;False
industry_commerce_and_business;4697.21;14;335.515;258.25800000000004;2.1;122.98000000000002;ok;4438.95;1718.81;2975.49;1463.46;0.0;False
small_appliances;8161.35;42;194.317857;3766.5915;32.550000000000004;115.71709677419354;ok;4394.76;116.68;3301.23;1093.53;0.0;False
office_furniture;13225.28;80;165.316;17230.4622;117.3;146.89226086956523;ok;-4005.18;-23.24;1473.9;-5479.08;0.0;False
signaling_and_security;3785.19;29;130.523793;499.7055;5.25;95.182;ok;3285.48;657.48;1024.91;2260.57;0.0;False
luggage_accessories;5821.72;54;107.80963;8727.2955;76.65;113.8590410958904;ok;-2905.58;-33.29;-326.67;-2578.91;0.0;False
