category;revenue;units;avg_price;budget_revenue;budget_units;budget_avg_price;status;revenue_variance;variance_pct;price_effect;volume_effect;unbudgeted_effect;material
furniture_living_room;6706.64;54;124.197037;3902.6424;30.6;127.53733333333334;ok;2804.0;71.85;-180.38;2984.37;0.0;False
food;3378.17;64;52.783906;613.3679999999999;7.35;83.45142857142855;ok;2764.8;450.76;-1962.72;4727.52;0.0;False
books_general_interest;4077.45;25;163.098;1357.0200000000002;13.65;99.41538461538462;ok;2720.43;200.47;1592.07;1128.36;0.0;False
consoles_games;8519.11;49;173.859388;5952.3640000000005;51.7;115.1327659574468;ok;2566.75;43.12;2877.6;-310.86;0.0;False
kitchen_dining_laundry_garden_furniture;3736.95;22;169.861364;1342.83;11.22;119.68181818181816;ok;2394.12;178.29;1103.95;1290.17;0.0;False
construction_tools_safety;1888.95;15;125.93;0.0;0.0;0.0;unbudgeted;1888.95;;;;1888.95;False
home_confort;2906.48;23;126.368696;4655.127;43.86;106.13604651162792;ok;-1748.65;-37.56;465.35;-2214.0;0.0;False
costruction_tools_garden;1922.66;22;87.393636;354.5316;8.16;43.4475;ok;1568.13;442.31;966.81;601.31;0.0;False
uncategorized;4612.0;47;98.12766;3116.253;60.900000000000006;51.17;ok;1495.75;48.0;2207.01;-711.26;0.0;False
market_place;186.78;4;46.695;1652.0490000000002;13.65;121.02923076923078;ok;-1465.27;-88.69;-297.34;-1167.93;0.0;False
books_technical;1994.93;26;76.728077;554.4;2.1;264.0;ok;1440.53;259.84;-4869.07;6309.6;0.0;False
art;1843.2;21;87.771429;406.0875;3.1500000000000004;128.91666666666666;ok;1437.11;353.89;-864.05;2301.16;0.0;False
home_appliances;5173.03;78;66.320897;3745.4298;37.74;99.24297297297296;ok;1427.6;38.12;-2567.92;3995.52;0.0;False
audio;2062.64;22;93.756364;741.0590000000001;6.6000000000000005;112.28166666666668;ok;1321.58;178.34;-407.56;1729.14;0.0;False
electronics;9270.95;151;61.39702;7992.644;103.4;77.29829787234043;ok;1278.31;15.99;-2401.09;3679.4;0.0;False
air_conditioning;2657.86;17;156.344706;1465.905;5.25;279.22;ok;1191.96;81.31;-2088.88;3280.84;0.0;False
cine_photo;1178.54;7;168.362857;0.0;0.0;0.0;unbudgeted;1178.54;;;;1178.54;False
drinks;1260.17;16;78.760625;287.66850000000005;3.1500000000000004;91.32333333333334;ok;972.5;338.06;-201.0;1173.5;0.0;False
computers_accessories;41063.31;418;98.237584;41993.842;352.0;119.3006875;ok;-930.53;-2.22;-8804.38;7873.85;0.0;False
fashion_bags_accessories;6071.07;74;82.041486;5316.3705;90.3;58.87453488372093;ok;754.7;14.2;1714.35;-959.65;0.0;False
dvds_blu_ray;83.99;1;83.99;769.4399999999999;3.1500000000000004;244.26666666666665;ok;-685.45;-89.08;-160.28;-525.17;0.0;False
food_drink;778.73;17;45.807647;176.61;8.4;21.025;ok;602.12;340.93;421.3;180.81;0.0;False
fashion_male_clothing;208.7;5;41.74;755.9895;9.45;79.99888888888889;ok;-547.29;-72.39;-191.29;-356.0;0.0;False
fashion_shoes;820.19;5;164.038;1347.171;19.95;67.52736842105264;ok;-526.98;-39.12;482.55;-1009.53;0.0;False
arts_and_craftmanship;654.57;11;59.506364;136.395;1.05;129.9;ok;518.18;379.91;-774.33;1292.5;0.0;False
music;849.3;3;283.1;345.45;1.05;329.0;ok;503.85;145.85;-137.7;641.55;0.0;False
christmas_supplies;509.56;8;63.695;68.34450000000001;2.1;32.545;ok;441.22;645.58;249.2;192.02;0.0;False
pc_gamer;438.0;2;219.0;0.0;0.0;0.0;unbudgeted;438.0;;;;438.0;False
books_imported;357.79;7;51.112857;0.0;0.0;0.0;unbudgeted;357.79;;;;357.79;False
furniture_bedroom;1386.9;10;138.69;1099.5498;4.08;269.4975;ok;287.35;26.13;-1308.08;1595.43;0.0;False
musical_instruments;7871.93;36;218.664722;7646.7195;31.5;242.753;ok;225.21;2.95;-867.18;1092.39;0.0;False
fashion_underwear_beach;109.8;2;54.9;288.54;3.1500000000000004;91.6;ok;-178.74;-61.95;-73.4;-105.34;0.0;False
portateis_cozinha_e_preparadores_de_alimentos;172.03;8;21.50375;0.0;0.0;0.0;unbudgeted;172.03;;;;172.03;False
diapers_and_hygiene;121.0;3;40.333333;0.0;0.0;0.0;unbudgeted;121.0;;;;121.0;False
flowers;47.99;2;23.995;0.0;0.0;0.0;unbudgeted;47.99;;;;47.99;False
home_comfort_2;38.7;3;12.9;13.158;1.02;12.9;ok;25.54;194.12;0.0;25.54;0.0;False
furniture_mattress_and_upholstery;129.9;1;129.9;111.588;1.02;109.4;ok;18.31;16.41;20.5;-2.19;0.0;False
party_supplies;57.5;2;28.75;73.39500000000001;1.05;69.9;ok;-15.9;-21.66;-82.3;66.41;0.0;False
