month;category;revenue;units;avg_price
2026-08;agro_industry_and_commerce;5021.09;18;278.949444
2026-08;air_conditioning;3556.9;21;169.37619
2026-08;art;1481.39;18;82.299444
2026-08;arts_and_craftmanship;901.76;9;100.195556
2026-08;audio;2069.4;26;79.592308
2026-08;auto;45032.58;370;121.709676
2026-08;baby;21266.57;212;100.314009
2026-08;bed_bath_table;60891.09;655;92.963496
2026-08;books_general_interest;1564.78;36;43.466111
2026-08;books_imported;749.0;1;749.0
2026-08;books_technical;1483.79;29;51.165172
2026-08;christmas_supplies;529.37;10;52.937
2026-08;cine_photo;595.29;9;66.143333
2026-08;computers;8711.5;12;725.958333
2026-08;computers_accessories;40052.64;415;96.512386
2026-08;consoles_games;4381.31;59;74.259492
2026-08;construction_tools_construction;22917.16;162;141.463951
2026-08;construction_tools_lights;8212.53;62;132.460161
2026-08;construction_tools_safety;3970.22;25;158.8088
2026-08;cool_stuff;15794.89;119;132.730168
2026-08;costruction_tools_garden;3688.76;23;160.38087
2026-08;costruction_tools_tools;1255.77;14;89.697857
2026-08;diapers_and_hygiene;231.89;3;77.296667
2026-08;drinks;1423.26;27;52.713333
2026-08;dvds_blu_ray;8.9;1;8.9
2026-08;electronics;10739.57;119;90.248487
2026-08;fashio_female_clothing;129.97;3;43.323333
2026-08;fashion_bags_accessories;8127.53;126;64.504206
2026-08;fashion_male_clothing;381.69;3;127.23
2026-08;fashion_shoes;471.3;3;157.1
2026-08;fashion_sport;69.9;1;69.9
2026-08;fashion_underwear_beach;160.0;1;160.0
2026-08;fixed_telephony;2724.17;10;272.417
2026-08;food;8174.18;115;71.079826
2026-08;food_drink;1028.61;21;48.981429
2026-08;furniture_bedroom;2197.0;12;183.083333
2026-08;furniture_decor;41168.55;430;95.740814
2026-08;furniture_living_room;5223.34;40;130.5835
2026-08;garden_tools;16314.7;136;119.961029
2026-08;health_beauty;119391.01;835;142.983246
2026-08;home_appliances;6443.85;63;102.283333
2026-08;home_appliances_2;7532.76;14;538.054286
2026-08;home_confort;2241.28;16;140.08
2026-08;home_construction;6286.16;48;130.961667
2026-08;housewares;58763.36;616;95.395065
2026-08;industry_commerce_and_business;2364.69;10;236.469
2026-08;kitchen_dining_laundry_garden_furniture;2011.47;20;100.5735
2026-08;luggage_accessories;6599.75;64;103.121094
2026-08;market_place;949.27;8;118.65875
2026-08;music;497.81;6;82.968333
2026-08;musical_instruments;10519.34;41;256.569268
2026-08;office_furniture;6758.87;30;225.295667
2026-08;party_supplies;1285.29;14;91.806429
2026-08;pc_gamer;219.0;1;219.0
2026-08;perfumery;24839.74;218;113.943761
2026-08;pet_shop;24608.07;198;124.283182
2026-08;portateis_cozinha_e_preparadores_de_alimentos;1803.6;4;450.9
2026-08;signaling_and_security;1825.59;22;82.981364
2026-08;small_appliances;6168.06;23;268.176522
2026-08;small_appliances_home_oven_and_coffee;2996.72;17;176.277647
2026-08;sports_leisure;50860.18;471;107.983397
2026-08;stationery;15445.65;169;91.394379
2026-08;telephony;36572.91;271;134.955387
2026-08;toys;16923.75;165;102.568182
2026-08;uncategorized;2199.05;31;70.937097
2026-08;watches_gifts;69767.06;411;169.749538
