"month";"category";"revenue";"units";"avg_price"
"2018-06";"fashion_childrens_clothes";89.99;1;89.99
"2018-06";"fashion_male_clothing";447.8;7;63.971429
"2018-06";"fashion_shoes";1230.58;10;123.058
"2018-06";"fashion_underwear_beach";129.3;7;18.471429
"2018-06";"fixed_telephony";2080.32;17;122.371765
"2018-06";"flowers";108.0;2;54.0
"2018-06";"food";1371.18;24;57.1325
"2018-06";"food_drink";293.85;11;26.713636
"2018-06";"furniture_bedroom";1559.99;9;173.332222
"2018-06";"furniture_decor";42042.22;402;104.582637
"2018-06";"furniture_living_room";3541.62;29;122.124828
"2018-06";"garden_tools";17948.72;184;97.547391
"2018-06";"health_beauty";106745.72;875;121.995109
"2018-06";"home_appliances";5830.38;65;89.698154
"2018-06";"home_appliances_2";8312.72;19;437.511579
"2018-06";"home_comfort_2";25.8;2;12.9
"2018-06";"home_confort";2386.49;16;149.155625
"2018-06";"home_construction";9094.59;71;128.092817
"2018-06";"housewares";55912.61;577;96.90227
"2018-06";"industry_commerce_and_business";2609.9;26;100.380769
"2018-06";"kitchen_dining_laundry_garden_furniture";3538.43;29;122.014828
"2018-06";"luggage_accessories";5070.88;36;140.857778
"2018-06";"market_place";556.46;7;79.494286
"2018-06";"music";109.08;3;36.36
"2018-06";"musical_instruments";16177.92;47;344.211064
"2018-06";"office_furniture";12125.58;76;159.547105
"2018-06";"party_supplies";84.8;2;42.4
"2018-06";"perfumery";26963.93;186;144.967366
"2018-06";"pet_shop";19491.78;178;109.504382
"2018-06";"signaling_and_security";5863.18;27;217.154815
"2018-06";"small_appliances";15431.63;49;314.931224
"2018-06";"small_appliances_home_oven_and_coffee";3499.0;3;1166.333333
"2018-06";"sports_leisure";44916.01;419;107.198115
"2018-06";"stationery";12859.08;167;77.000479
"2018-06";"tablets_printing_image";50.0;1;50.0
"2018-06";"telephony";22669.86;216;104.953056
"2018-06";"toys";21094.95;190;111.026053
"2018-06";"uncategorized";2387.13;23;103.788261
"2018-06";"watches_gifts";85027.57;477;178.254864
"2018-07";"agro_industry_and_commerce";6669.82;27;247.03037
"2018-07";"air_conditioning";2657.86;17;156.344706
"2018-07";"art";1843.2;21;87.771429
"2018-07";"arts_and_craftmanship";654.57;11;59.506364
"2018-07";"audio";2062.64;22;93.756364
"2018-07";"auto";43466.79;341;127.468592
"2018-07";"baby";21834.12;214;102.028598
"2018-07";"bed_bath_table";54405.23;617;88.177034
"2018-07";"books_general_interest";4077.45;25;163.098
"2018-07";"books_imported";357.79;7;51.112857
"2018-07";"books_technical";1994.93;26;76.728077
"2018-07";"christmas_supplies";509.56;8;63.695
"2018-07";"cine_photo";1178.54;7;168.362857
"2018-07";"computers";11239.0;8;1404.875
"2018-07";"computers_accessories";41063.31;418;98.237584
"2018-07";"consoles_games";8519.11;49;173.859388
"2018-07";"construction_tools_construction";15237.47;115;132.499739
"2018-07";"construction_tools_lights";7249.61;55;131.811091
"2018-07";"construction_tools_safety";1888.95;15;125.93
"2018-07";"cool_stuff";21152.01;115;183.930522
"2018-07";"costruction_tools_garden";1922.66;22;87.393636
"2018-07";"costruction_tools_tools";5501.2;12;458.433333
"2018-07";"diapers_and_hygiene";121.0;3;40.333333
"2018-07";"drinks";1260.17;16;78.760625
"2018-07";"dvds_blu_ray";83.99;1;83.99
"2018-07";"electronics";9270.95;151;61.39702
"2018-07";"fashion_bags_accessories";6071.07;74;82.041486
"2018-07";"fashion_male_clothing";208.7;5;41.74
"2018-07";"fashion_shoes";820.19;5;164.038
"2018-07";"fashion_underwear_beach";109.8;2;54.9
"2018-07";"fixed_telephony";9319.39;11;847.217273
"2018-07";"flowers";47.99;2;23.995
"2018-07";"food";3378.17;64;52.783906
"2018-07";"food_drink";778.73;17;45.807647
"2018-07";"furniture_bedroom";1386.9;10;138.69
"2018-07";"furniture_decor";45393.59;436;104.113739
"2018-07";"furniture_living_room";6706.64;54;124.197037
"2018-07";"furniture_mattress_and_upholstery";129.9;1;129.9
"2018-07";"garden_tools";25639.88;177;144.858079
"2018-07";"health_beauty";103524.22;770;134.447039
"2018-07";"home_appliances";5173.03;78;66.320897
"2018-07";"home_appliances_2";12597.32;23;547.709565
"2018-07";"home_comfort_2";38.7;3;12.9
"2018-07";"home_confort";2906.48;23;126.368696
"2018-07";"home_construction";6700.25;60;111.670833
"2018-07";"housewares";62583.3;564;110.963298
"2018-07";"industry_commerce_and_business";4697.21;14;335.515
"2018-07";"kitchen_dining_laundry_garden_furniture";3736.95;22;169.861364
"2018-07";"luggage_accessories";5821.72;54;107.80963
"2018-07";"market_place";186.78;4;46.695
"2018-07";"music";849.3;3;283.1
"2018-07";"musical_instruments";7871.93;36;218.664722
"2018-07";"office_furniture";13225.28;80;165.316
"2018-07";"party_supplies";57.5;2;28.75
"2018-07";"pc_gamer";438.0;2;219.0
"2018-07";"perfumery";20645.97;199;103.748593
"2018-07";"pet_shop";19343.85;158;122.42943
"2018-07";"portateis_cozinha_e_preparadores_de_alimentos";172.03;8;21.50375
"2018-07";"signaling_and_security";3785.19;29;130.523793
"2018-07";"small_appliances";8161.35;42;194.317857
"2018-07";"small_appliances_home_oven_and_coffee";4699.67;15;313.311333
"2018-07";"sports_leisure";54015.89;460;117.425848
"2018-07";"stationery";17217.19;190;90.616789
"2018-07";"telephony";26492.68;221;119.87638
"2018-07";"toys";17022.0;154;110.532468
"2018-07";"uncategorized";4612.0;47;98.12766
"2018-07";"watches_gifts";95164.79;521;182.657946
"2018-08";"agro_industry_and_commerce";5021.09;18;278.949444
"2018-08";"air_conditioning";3556.9;21;169.37619
"2018-08";"art";1481.39;18;82.299444
"2018-08";"arts_and_craftmanship";901.76;9;100.195556
"2018-08";"audio";2069.4;26;79.592308
"2018-08";"auto";45032.58;370;121.709676
"2018-08";"baby";21266.57;212;100.314009
"2018-08";"bed_bath_table";60891.09;655;92.963496
"2018-08";"books_general_interest";1564.78;36;43.466111
"2018-08";"books_imported";749.0;1;749.0
"2018-08";"books_technical";1483.79;29;51.165172
"2018-08";"christmas_supplies";529.37;10;52.937
"2018-08";"cine_photo";595.29;9;66.143333
"2018-08";"computers";8711.5;12;725.958333
"2018-08";"computers_accessories";40052.64;415;96.512386
"2018-08";"consoles_games";4381.31;59;74.259492
"2018-08";"construction_tools_construction";22917.16;162;141.463951
"2018-08";"construction_tools_lights";8212.53;62;132.460161
"2018-08";"construction_tools_safety";3970.22;25;158.8088
"2018-08";"cool_stuff";15794.89;119;132.730168
"2018-08";"costruction_tools_garden";3688.76;23;160.38087
"2018-08";"costruction_tools_tools";1255.77;14;89.697857
"2018-08";"diapers_and_hygiene";231.89;3;77.296667
"2018-08";"drinks";1423.26;27;52.713333
"2018-08";"dvds_blu_ray";8.9;1;8.9
"2018-08";"electronics";10739.57;119;90.248487
"2018-08";"fashio_female_clothing";129.97;3;43.323333
"2018-08";"fashion_bags_accessories";8127.53;126;64.504206
"2018-08";"fashion_male_clothing";381.69;3;127.23
"2018-08";"fashion_shoes";471.3;3;157.1
"2018-08";"fashion_sport";69.9;1;69.9
"2018-08";"fashion_underwear_beach";160.0;1;160.0
"2018-08";"fixed_telephony";2724.17;10;272.417
"2018-08";"food";8174.18;115;71.079826
"2018-08";"food_drink";1028.61;21;48.981429
"2018-08";"furniture_bedroom";2197.0;12;183.083333
"2018-08";"furniture_decor";41168.55;430;95.740814
"2018-08";"furniture_living_room";5223.34;40;130.5835
"2018-08";"garden_tools";16314.7;136;119.961029
"2018-08";"health_beauty";119391.01;835;142.983246
"2018-08";"home_appliances";6443.85;63;102.283333
"2018-08";"home_appliances_2";7532.76;14;538.054286
"2018-08";"home_confort";2241.28;16;140.08
"2018-08";"home_construction";6286.16;48;130.961667
"2018-08";"housewares";58763.36;616;95.395065
"2018-08";"industry_commerce_and_business";2364.69;10;236.469
"2018-08";"kitchen_dining_laundry_garden_furniture";2011.47;20;100.5735
"2018-08";"luggage_accessories";6599.75;64;103.121094
"2018-08";"market_place";949.27;8;118.65875
"2018-08";"music";497.81;6;82.968333
"2018-08";"musical_instruments";10519.34;41;256.569268
"2018-08";"office_furniture";6758.87;30;225.295667
"2018-08";"party_supplies";1285.29;14;91.806429
"2018-08";"pc_gamer";219.0;1;219.0
"2018-08";"perfumery";24839.74;218;113.943761
"2018-08";"pet_shop";24608.07;198;124.283182
