month;category;revenue;units;avg_price
2026-06;agro_industry_and_commerce;3515.8;10;351.58
2026-06;air_conditioning;3567.9;15;237.86
2026-06;art;2500.14;28;89.290714
2026-06;audio;1830.69;20;91.5345
2026-06;auto;44962.59;295;152.415559
2026-06;baby;30550.32;223;136.996951
2026-06;bed_bath_table;70857.08;764;92.744869
2026-06;books_general_interest;3275.49;38;86.197105
2026-06;books_imported;468.17;9;52.018889
2026-06;books_technical;1747.43;26;67.208846
2026-06;christmas_supplies;306.19;7;43.741429
2026-06;cine_photo;435.85;13;33.526923
2026-06;computers;13127.0;13;1009.769231
2026-06;computers_accessories;41806.37;401;104.255287
2026-06;consoles_games;6903.01;43;160.535116
2026-06;construction_tools_construction;22947.72;113;203.077168
2026-06;construction_tools_lights;4583.41;44;104.168409
2026-06;construction_tools_safety;2565.37;16;160.335625
2026-06;cool_stuff;19316.37;103;187.537573
2026-06;costruction_tools_garden;799.44;11;72.676364
2026-06;costruction_tools_tools;527.0;4;131.75
2026-06;diapers_and_hygiene;321.0;7;45.857143
2026-06;drinks;1567.07;33;47.48697
2026-06;dvds_blu_ray;382.88;6;63.813333
2026-06;electronics;9664.57;191;50.599843
2026-06;fashion_bags_accessories;7869.95;87;90.459195
2026-06;fashion_childrens_clothes;89.99;1;89.99
2026-06;fashion_male_clothing;447.8;7;63.971429
2026-06;fashion_shoes;1230.58;10;123.058
2026-06;fashion_underwear_beach;129.3;7;18.471429
2026-06;fixed_telephony;2080.32;17;122.371765
2026-06;flowers;108.0;2;54.0
2026-06;food;1371.18;24;57.1325
2026-06;food_drink;293.85;11;26.713636
2026-06;furniture_bedroom;1559.99;9;173.332222
2026-06;furniture_decor;42042.22;402;104.582637
2026-06;furniture_living_room;3541.62;29;122.124828
2026-06;garden_tools;17948.72;184;97.547391
2026-06;health_beauty;106745.72;875;121.995109
2026-06;home_appliances;5830.38;65;89.698154
2026-06;home_appliances_2;8312.72;19;437.511579
2026-06;home_comfort_2;25.8;2;12.9
2026-06;home_confort;2386.49;16;149.155625
2026-06;home_construction;9094.59;71;128.092817
2026-06;housewares;55912.61;577;96.90227
2026-06;industry_commerce_and_business;2609.9;26;100.380769
2026-06;kitchen_dining_laundry_garden_furniture;3538.43;29;122.014828
2026-06;luggage_accessories;5070.88;36;140.857778
2026-06;market_place;556.46;7;79.494286
2026-06;music;109.08;3;36.36
2026-06;musical_instruments;16177.92;47;344.211064
2026-06;office_furniture;12125.58;76;159.547105
2026-06;party_supplies;84.8;2;42.4
2026-06;perfumery;26963.93;186;144.967366
2026-06;pet_shop;19491.78;178;109.504382
2026-06;signaling_and_security;5863.18;27;217.154815
2026-06;small_appliances;15431.63;49;314.931224
2026-06;small_appliances_home_oven_and_coffee;3499.0;3;1166.333333
2026-06;sports_leisure;44916.01;419;107.198115
2026-06;stationery;12859.08;167;77.000479
2026-06;tablets_printing_image;50.0;1;50.0
2026-06;telephony;22669.86;216;104.953056
2026-06;toys;21094.95;190;111.026053
2026-06;uncategorized;2387.13;23;103.788261
2026-06;watches_gifts;85027.57;477;178.254864
